f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,y_1,y_2
1.79,12.74,10.67,88.24,59.45,21.94,44.92,40.66,58.11,0,1
4.64,9.29,6.38,51.19,31.48,11.63,36.69,50.07,70.42,0,0
4.33,6.57,4.12,19.25,84.79,86.1,61.86,55.17,60.23,1,0
3.2,1.46,11.73,10.34,33.54,8.47,49.63,36.09,46.5,1,0
41.31,2.96,4.71,60.09,32.15,35.67,50.82,49.39,49.44,0,0
27.74,33.18,1.86,96.85,24.41,13.03,34.22,36.27,49.06,0,1
5.05,4.81,11.38,13.69,48.18,13.23,65.35,50.56,44.7,0,0
15.91,7.01,23.05,82.88,55.43,91.07,47.22,57.03,46.93,1,0
20.53,9.83,3.06,81.85,35.69,73.28,59.95,57.44,68.56,0,0
13.29,13.92,1.44,41.81,82.47,2.49,30.22,37.5,43.26,0,1
3.38,1.29,5.54,68.88,40.01,80.82,41.64,72.79,40.3,1,0
5.64,7.91,12.74,6.78,37.43,80.43,52.69,48.7,61.87,0,1
2.57,3.09,2.01,12.07,81.2,67.07,41.65,51.33,58.43,1,1
6.6,1.33,25.8,80.89,24.22,41.43,34.55,59.92,45.21,1,0
5.58,5.64,13.53,52.59,64.93,95.41,38.2,44.08,36.86,0,0
5.23,24.54,23.52,22.32,5.35,50.3,72.89,44.71,62.45,0,0
2.01,2.61,4.38,27.01,99.77,93.9,48.22,51.53,40.89,1,1
8.04,2.59,2.31,75.37,62.82,32.93,67.77,45.78,51.15,1,0
2.73,10.37,1.61,71.58,86.91,56.15,40.61,27.33,58.43,0,1
16.97,22.02,15.52,85.22,26.96,70.07,58.97,56.74,68.42,0,0
6.36,12.4,26.87,64.25,6.11,15.94,66.5,33.56,41.32,0,0
1.08,5.46,3.41,19.91,33.44,5.22,24.26,52.71,67.32,0,1
3.73,6.68,17.94,8.43,84.13,21.75,74.1,27.98,57.61,0,0
10.13,10.11,1.86,23.7,6.01,85.19,65.85,31.65,54.55,0,0
6.82,6.84,5.75,51.5,69.69,16.87,48.42,48.57,62.35,0,0
11.84,15.02,12.84,97.29,15.47,72.63,65.03,58.78,46.17,0,0
10.15,1.26,11.03,97.18,71.36,43.2,47.76,31.31,43.85,1,0
6.39,23.8,7.97,60.92,22.92,82.09,26.77,72.95,55.72,0,0
4.74,6.4,16.23,47.71,84.93,59.41,65.72,41.04,51.85,1,0
8.2,4.48,14.59,32.12,90.46,56.58,37.58,54.28,58.01,0,0
7.02,11.2,3.6,31.15,90.75,65.93,56.1,30.68,43.03,1,1
14.46,7.93,17.07,76.35,36.89,50.44,56.77,44.26,38.73,1,1
4.01,35.25,31.32,70.04,18.88,42.86,19.4,46.39,49.3,0,0
15.5,2.89,16.94,49.71,63.3,55.65,70.19,29.96,55.76,1,0
3.71,22.56,5.31,17.23,9.22,99.47,51.89,41.27,39.33,0,0
8.71,3.43,1.98,72.29,10.2,71.74,43.51,44.58,66.12,1,0
3.13,2.97,13.09,78.57,80.67,13.56,31.69,59.07,25.98,1,1
3.58,2.75,6.88,2.8,86.11,89.68,46.36,55.56,28.07,1,1
2.92,5.83,4.84,78.1,80.96,17.81,38.31,47.19,75.47,0,0
10.95,10.24,21.13,24.13,66.98,87.4,40.66,51.84,48.19,0,0
22.12,2.86,10.99,3.16,49.89,4.8,53.22,61.91,40.69,1,0
25.31,7.9,12.84,82.71,61.11,90.34,52.24,43.77,49.11,0,0
4.07,1.83,2.3,31.85,24.58,82.37,54.1,32.93,53.57,0,1
12.06,9.64,5.34,25.55,54.18,99.55,59.5,33.81,59.18,0,0
1.84,15.01,16.02,52.75,65.37,43.81,53.24,56.94,46.43,0,0
25.88,7.06,1.36,96.98,25.77,29.24,65.71,36.78,58.25,0,0
1.25,3.58,8.74,82.58,89.64,21.22,47.21,24.04,66.72,1,0
7.36,4.4,12.32,13.47,62.51,71.2,60.23,50.74,41.58,0,0
1.18,16.74,1.33,4.88,22.45,80.27,34.76,62.23,31.18,0,1
24.29,12.5,10.1,3.28,13.91,70.87,74.73,46.55,43.89,0,0
4.64,4.4,16.48,58.64,58.75,61.97,62.84,55.26,47.45,1,0
5.21,2.67,22.7,96.73,93.54,3.13,40.79,40.43,69.24,1,0
11.24,4.68,14.86,84.69,81.53,18.5,62.0,42.58,68.48,0,0
9.83,18.67,6.29,21.29,66.18,95.39,51.09,46.75,45.86,0,0
10.72,12.08,7.41,39.47,57.83,38.79,41.9,36.97,38.45,1,0
9.35,2.31,3.63,91.0,82.9,11.75,60.16,35.03,47.99,1,1
6.34,7.17,2.22,3.8,5.9,65.21,58.92,35.89,64.26,0,0
5.24,2.24,11.8,44.17,56.88,58.5,15.62,36.06,46.49,1,0
3.43,13.58,8.18,2.16,16.71,48.21,54.02,41.52,44.32,0,0
4.27,5.39,3.0,37.71,71.94,90.75,45.5,42.41,64.98,1,0
3.97,5.38,8.4,61.77,39.82,47.21,58.78,32.61,28.51,0,0
6.15,5.97,3.06,48.86,88.19,9.16,62.44,35.83,67.03,1,1
3.54,15.31,4.73,58.81,42.71,87.47,36.17,61.57,34.3,0,0
17.28,16.93,7.7,84.21,20.15,6.87,47.39,50.46,33.04,0,1
13.17,4.68,7.77,81.77,76.96,18.05,29.97,19.96,47.34,1,0
4.62,50.9,16.05,19.55,9.76,16.05,55.27,33.59,42.12,0,0
7.37,8.29,1.27,59.25,12.85,32.12,48.69,44.35,60.07,0,0
24.6,6.61,11.46,17.55,24.36,76.6,64.85,42.55,72.33,0,0
1.08,1.97,13.06,78.37,84.0,13.28,26.49,60.1,42.68,1,0
1.77,24.64,3.97,40.35,62.68,78.87,62.03,35.39,68.23,0,0
5.84,9.18,4.87,60.84,6.8,49.14,42.42,37.12,34.45,0,0
6.02,20.48,39.84,76.32,92.65,36.26,59.44,47.32,48.77,0,0
5.61,5.61,6.98,9.08,23.18,27.03,53.29,52.72,40.84,0,0
13.35,10.59,2.74,28.62,82.9,81.24,48.2,39.31,70.9,0,1
3.92,14.78,7.15,16.93,42.76,38.37,39.94,52.26,46.51,0,0
10.31,7.71,2.35,59.8,74.05,10.93,59.69,52.83,49.39,0,1
5.24,17.01,20.99,20.87,34.63,44.52,46.93,34.44,37.01,0,0
14.49,8.3,6.02,31.91,24.56,26.75,51.76,39.69,57.62,1,0
15.31,4.06,8.06,79.09,73.17,39.94,55.76,28.7,63.86,1,0
13.9,13.43,9.39,20.63,43.61,35.6,42.13,36.51,65.26,0,1
3.75,12.41,8.71,54.82,4.8,29.81,46.95,34.83,40.29,0,0
16.36,2.61,18.99,52.51,38.84,15.26,39.15,41.84,35.72,1,0
5.89,5.57,10.98,83.08,97.25,77.46,73.83,50.19,60.7,1,0
2.38,1.92,3.45,65.75,17.73,12.49,49.12,46.98,61.65,1,0
24.08,14.91,8.27,69.43,49.88,34.32,64.34,42.67,49.21,1,0
4.16,2.19,9.36,57.47,39.67,55.94,69.68,17.93,31.77,1,0
23.38,1.91,3.04,5.21,52.58,35.89,55.44,43.86,50.77,1,0
11.64,4.72,26.98,93.2,51.17,45.83,36.34,29.87,68.03,0,0
4.42,5.94,1.53,17.27,38.63,67.73,28.29,55.28,48.41,0,1
6.51,22.09,2.59,47.9,31.22,57.87,68.79,34.79,38.85,0,0
15.61,15.25,2.7,62.73,49.62,87.86,57.86,34.64,57.48,0,1
14.76,5.02,6.02,11.64,14.33,99.03,29.96,43.74,60.22,0,0
3.44,36.55,29.61,51.85,84.52,51.71,42.56,44.09,21.14,0,0
1.2,5.38,13.9,45.01,72.46,55.54,43.31,60.35,39.25,0,0
4.29,5.27,21.22,95.18,28.31,2.13,55.33,55.33,36.4,1,0
6.27,5.0,3.26,21.9,18.23,90.96,28.0,50.51,46.24,0,0
7.88,18.39,11.4,34.8,59.98,96.89,36.39,54.13,45.13,0,0
1.59,39.93,2.98,52.48,25.77,92.0,62.82,50.28,72.07,0,1
14.69,37.4,2.87,28.2,18.38,1.36,56.99,36.05,50.61,0,1
40.4,30.02,2.04,24.74,75.17,94.47,46.91,51.89,60.57,0,1
10.05,11.71,16.82,43.99,52.53,75.89,48.11,33.43,42.34,0,0
5.83,32.83,1.62,8.97,21.3,78.34,45.53,40.88,27.97,0,1
21.13,8.46,21.06,62.52,17.77,12.99,50.48,32.72,56.78,0,0
1.11,12.64,13.72,90.61,51.2,10.8,60.75,36.85,45.45,0,0
12.25,5.2,20.34,48.69,89.08,57.91,63.63,36.75,40.57,0,0
7.22,2.75,7.35,41.9,37.6,81.93,76.39,31.55,29.9,1,0
2.56,7.88,30.24,81.88,85.24,89.5,65.8,65.9,63.1,1,0
1.08,15.64,1.09,33.39,76.66,97.69,71.89,46.96,54.69,0,1
9.74,2.05,6.26,83.64,1.93,94.12,40.14,40.37,63.6,0,0
2.18,37.21,32.5,72.88,8.43,47.04,26.05,41.84,39.41,0,1
5.32,2.34,3.34,85.4,83.49,24.83,60.28,48.48,69.81,1,0
6.3,3.27,37.58,66.21,97.68,21.65,51.68,59.96,62.57,1,0
2.36,10.57,7.73,81.34,27.28,98.5,62.67,57.4,71.97,0,0
5.77,1.5,9.17,28.14,27.43,91.48,41.74,21.4,54.9,1,1
13.53,14.94,2.2,22.44,30.37,33.06,86.08,62.76,43.84,1,0
7.65,1.02,3.4,40.96,25.33,73.24,48.44,79.37,50.45,1,1
1.58,9.41,4.61,41.55,14.39,73.61,54.1,44.51,72.71,0,0
2.01,23.36,6.16,43.75,80.98,72.41,49.33,24.36,42.61,0,1
49.95,8.18,17.95,9.04,69.6,9.16,40.73,35.55,54.66,1,0
9.64,27.57,16.88,95.59,75.31,58.04,52.92,64.23,71.07,0,0
3.79,5.66,14.08,6.97,91.91,39.57,41.07,44.44,62.44,1,0
12.69,1.55,1.48,27.48,14.41,69.29,65.94,47.8,59.03,1,0
16.15,3.41,9.97,75.88,51.02,80.96,60.23,39.25,25.84,0,0
12.01,4.51,6.38,86.27,35.41,8.16,82.77,71.71,82.48,0,0
3.52,6.41,27.02,63.16,48.93,58.8,48.91,43.6,30.22,0,0
3.68,12.5,11.63,55.36,6.91,74.09,38.14,54.36,45.81,0,0
5.8,5.56,2.22,46.58,6.01,27.28,61.15,46.22,65.71,0,0
7.84,4.25,5.07,50.72,32.0,79.47,37.96,42.22,46.21,1,0
2.87,15.21,17.73,39.9,19.8,79.93,47.41,51.35,57.12,0,0
13.19,4.39,7.08,16.42,67.08,2.43,20.4,45.32,62.39,1,0
8.1,3.89,14.6,66.03,29.39,87.0,38.76,47.83,49.29,1,0
6.58,1.37,5.1,72.6,65.85,66.49,54.79,34.76,62.78,1,1
2.18,29.48,9.94,74.22,97.48,90.18,46.72,25.2,54.15,0,0
20.81,1.13,19.68,53.09,3.42,94.55,40.4,70.22,37.22,0,0
2.57,5.43,1.72,70.41,55.88,95.57,74.57,35.21,29.69,0,1
3.46,5.18,15.13,88.39,21.26,41.85,32.93,36.05,73.97,0,0
5.07,6.62,16.33,49.72,89.02,88.54,41.4,43.26,57.13,0,1
23.84,20.43,5.01,34.12,32.88,49.44,54.95,37.55,72.55,0,0
3.13,42.73,4.39,16.27,75.43,57.51,40.36,48.89,62.39,0,1
19.32,2.95,1.81,69.44,38.95,58.43,43.5,63.4,41.99,0,0
11.44,11.74,1.07,64.26,9.51,65.36,43.3,29.57,65.0,0,1
4.05,12.45,2.13,49.63,25.8,36.43,63.65,49.62,51.72,0,1
3.0,3.93,15.44,25.9,85.3,73.69,43.58,50.4,61.26,1,0
6.23,17.54,9.05,16.74,67.31,67.64,32.08,52.23,55.56,0,1
2.64,8.09,7.26,96.69,57.17,67.44,53.01,31.93,40.66,1,0
9.17,29.16,39.55,6.44,91.77,13.88,42.6,30.0,38.29,1,0
1.3,12.42,9.49,20.38,63.43,98.21,32.57,72.78,47.97,0,0
8.93,6.37,6.5,10.27,38.97,78.8,65.7,40.07,46.5,0,0
2.56,4.18,14.21,68.18,19.23,83.27,52.25,33.12,46.55,0,0
33.89,1.67,4.05,46.86,22.83,20.83,33.17,27.54,55.63,1,0
9.28,13.3,4.75,37.99,97.15,37.52,33.5,35.11,35.48,1,1
5.45,12.94,12.88,1.61,42.56,11.39,25.85,67.62,69.77,0,0
6.18,16.01,5.22,18.07,79.99,12.53,53.6,30.13,38.85,1,1
1.98,6.53,7.37,55.86,51.46,27.96,32.25,62.93,49.44,0,0
15.07,5.36,18.42,71.67,87.88,12.13,12.88,35.93,53.3,0,0
8.44,3.07,10.75,32.11,43.03,77.64,61.73,18.47,34.54,0,0
22.07,6.45,12.75,54.25,3.45,31.52,57.08,48.52,48.81,0,0
1.23,1.37,11.31,5.22,58.84,87.34,60.19,50.27,53.36,1,0
2.42,5.11,26.73,18.54,99.9,47.82,58.73,19.43,60.4,0,0
24.56,14.06,4.75,17.28,93.94,65.43,61.93,47.23,52.9,0,1
13.57,2.85,1.5,5.12,6.07,72.02,28.11,54.86,16.05,0,1
2.11,12.52,3.11,24.49,13.26,60.82,59.51,49.05,41.79,0,1
6.62,10.07,12.53,4.21,39.72,26.02,62.74,21.99,47.63,1,0
3.83,5.0,2.31,70.37,3.69,33.65,49.97,48.23,59.17,0,0
8.92,10.9,13.35,73.93,52.21,57.33,55.46,53.84,43.71,1,0
3.25,5.11,31.67,67.92,90.26,54.2,39.34,33.88,60.21,1,0
43.67,2.69,3.96,91.4,42.77,62.49,41.48,48.95,20.53,1,0
1.65,16.89,14.9,69.24,42.79,34.81,38.92,34.56,70.55,0,0
6.38,8.45,6.44,72.69,49.25,25.78,72.0,46.61,51.64,0,0
15.58,3.77,9.77,53.14,40.96,57.31,59.28,42.55,60.76,1,0
1.11,29.27,5.12,62.13,94.36,23.66,50.13,57.72,79.64,0,1
3.25,3.83,3.59,14.61,87.44,21.54,67.21,54.46,40.49,1,0
1.08,16.68,5.9,45.51,8.41,71.74,62.18,42.73,32.38,0,0
10.03,3.99,4.68,32.61,37.79,17.3,45.94,38.78,57.06,1,1
1.61,10.42,15.49,44.98,3.99,68.54,26.04,45.9,54.23,0,0
13.38,12.44,4.66,31.72,1.37,44.82,53.23,58.75,76.27,0,0
1.14,1.8,8.23,12.58,84.95,69.33,66.0,34.46,34.55,1,1
44.63,8.88,13.6,19.03,51.07,92.66,60.25,49.4,36.0,0,0
20.24,8.86,6.26,32.83,21.86,48.83,57.51,51.49,52.92,0,0
1.93,2.94,8.41,18.64,54.01,25.46,49.98,44.02,36.86,1,1
8.55,3.45,7.61,44.83,41.85,53.14,46.17,33.12,26.97,1,0
27.94,6.98,51.91,94.85,51.38,76.04,53.57,58.07,54.77,0,0
7.07,7.96,3.12,73.32,12.9,84.86,69.6,43.09,77.04,1,0
4.56,7.82,4.0,97.09,9.12,2.33,54.17,52.0,48.63,0,0
1.02,10.33,1.62,44.13,38.54,83.84,41.83,28.09,47.64,0,1
9.93,14.87,12.69,39.24,84.12,60.2,53.81,45.29,41.2,0,0
25.25,16.07,11.56,55.12,76.85,56.55,41.56,62.79,31.84,0,0
4.45,17.67,8.59,23.33,29.75,86.24,39.76,28.52,37.0,0,0
3.69,6.62,3.94,11.54,62.79,36.15,39.04,46.74,61.83,0,1
3.99,18.27,31.84,88.88,65.34,98.26,46.91,38.91,60.4,1,0
1.17,29.08,2.66,75.78,59.89,59.38,44.76,41.13,54.08,0,1
1.97,4.6,27.63,36.41,38.63,14.04,22.9,44.91,73.76,1,0
3.61,12.77,5.07,13.73,38.45,46.73,47.03,18.18,51.8,0,0
7.62,11.53,1.77,21.47,43.55,75.81,32.97,44.99,51.28,1,1
4.28,7.61,19.76,13.2,13.44,89.77,68.77,58.53,44.19,0,0
5.28,1.2,14.25,15.04,48.83,6.07,49.01,42.13,52.79,1,0
8.67,6.4,2.83,35.3,75.42,67.13,36.97,34.12,55.51,0,1
2.96,3.45,7.21,47.93,17.5,11.12,45.7,40.97,52.3,0,0
4.95,3.1,4.01,88.93,53.12,37.35,66.84,39.98,55.73,1,0
20.7,11.68,6.36,22.94,41.3,67.57,46.04,53.48,50.07,0,0
8.79,1.76,3.06,28.3,9.49,92.07,63.98,38.01,50.36,1,0
18.55,1.44,11.14,92.62,82.87,60.5,46.34,61.21,56.71,1,0
5.77,3.97,11.97,1.85,20.74,80.16,43.87,44.59,44.8,0,0
8.88,22.81,1.27,33.31,41.68,42.79,12.65,44.47,37.54,0,1
4.94,8.76,8.87,6.64,29.43,49.8,57.17,53.85,36.82,1,0
17.6,1.38,14.05,79.26,90.22,32.99,60.87,49.21,54.08,1,1
3.02,6.09,4.36,1.14,31.82,80.78,79.95,36.08,76.33,1,0
1.34,6.67,10.51,42.67,95.46,43.17,48.09,44.82,44.9,0,0
4.0,27.89,10.19,45.29,71.59,23.77,60.25,41.73,45.1,0,0
23.55,12.53,12.65,98.96,78.86,36.12,55.39,56.85,46.97,1,1
37.51,22.48,4.11,34.19,83.3,47.98,65.34,41.08,50.49,0,0
43.44,24.65,5.38,22.33,89.56,61.26,77.71,37.29,49.01,0,0
1.49,1.78,7.46,56.25,28.43,85.22,46.07,34.2,55.94,1,0
5.7,4.28,5.26,17.82,91.99,80.58,71.64,37.08,49.55,1,0
17.85,4.92,4.31,70.77,3.78,2.18,44.52,35.21,38.66,0,0
20.41,15.83,17.18,26.67,34.05,60.51,41.89,54.7,52.38,0,0
1.68,29.95,2.73,11.51,44.91,84.18,32.71,57.11,45.96,0,1
24.52,17.62,7.5,80.93,86.24,9.09,55.22,50.24,50.0,0,0
2.06,7.42,7.68,64.8,38.19,29.12,53.89,42.54,46.33,0,0
1.75,3.39,12.62,45.06,30.15,55.35,50.84,48.26,44.51,0,0
3.75,5.83,7.55,75.59,9.45,41.43,50.85,48.45,33.47,0,0
30.49,2.23,20.84,92.27,53.47,63.13,51.29,61.94,36.41,1,1
15.22,4.65,3.85,72.26,33.63,49.17,46.26,50.88,62.33,0,0
4.82,2.09,12.86,98.99,82.61,37.24,59.68,33.24,56.08,1,0
6.44,4.35,3.69,53.78,26.04,42.42,25.05,55.47,27.35,1,0
9.91,4.51,6.92,59.49,62.77,42.8,53.78,66.0,70.79,0,0
15.1,10.9,4.12,39.82,72.02,41.23,30.26,54.53,55.2,0,0
29.62,1.2,15.99,1.77,27.49,54.1,38.8,57.55,37.05,1,0
5.87,2.84,10.83,22.73,5.46,9.72,43.03,48.32,45.61,1,0
6.88,3.56,2.06,99.95,6.04,58.45,29.69,54.54,73.68,0,0
9.28,6.37,4.13,30.17,24.39,27.26,77.26,5.9,56.16,1,0
3.26,8.41,8.69,88.58,75.99,34.51,43.62,46.85,53.86,1,1
7.58,12.49,5.41,95.09,27.53,30.27,53.05,39.81,65.96,0,0
3.22,35.2,3.9,51.65,63.09,50.67,41.64,50.85,52.48,0,1
12.76,1.12,20.62,23.53,12.07,35.92,30.76,47.27,48.13,1,0
13.86,5.89,6.35,88.79,44.63,7.72,43.21,49.95,64.71,0,0
5.34,10.61,4.24,3.9,86.76,72.37,46.28,42.25,46.99,1,0
6.47,11.79,1.67,82.88,63.09,45.17,46.85,62.11,61.16,0,1
6.89,18.04,1.01,68.68,27.99,7.71,44.74,49.23,37.66,0,1
4.1,4.37,8.48,7.41,63.77,42.05,39.88,62.83,58.05,1,0
11.88,7.87,3.6,86.14,73.34,31.92,47.1,44.73,35.19,1,1
20.63,4.61,1.53,1.18,86.25,41.88,57.62,33.08,53.3,0,0
6.59,3.44,1.15,19.38,65.63,5.08,51.67,64.05,64.12,1,1
10.42,8.26,5.59,66.49,21.85,85.76,69.7,64.23,81.16,0,0
17.81,6.65,3.84,41.23,45.48,60.46,71.95,42.03,53.74,0,0
4.59,1.5,2.82,50.18,6.42,31.2,33.17,57.04,57.94,1,0
1.97,22.34,9.53,66.64,49.49,1.73,32.84,30.4,62.55,0,1
1.59,9.45,2.92,7.57,88.7,40.08,40.68,43.18,42.53,0,1
4.41,3.91,12.38,63.3,23.38,77.13,45.32,55.07,37.0,0,0
4.27,3.49,15.88,3.72,38.87,41.31,46.11,22.48,37.48,0,0
18.86,12.22,15.3,79.44,82.94,98.13,57.54,45.88,44.32,0,0
8.46,34.95,7.62,5.02,92.75,23.74,60.45,67.35,46.78,0,1
7.59,7.33,4.65,20.94,71.21,32.08,41.58,50.89,49.39,0,0
45.43,8.51,26.38,21.13,44.08,53.65,57.48,25.33,57.97,0,1
18.91,14.48,2.67,68.75,63.56,51.49,37.74,43.21,30.52,0,0
4.45,13.32,6.65,77.21,64.53,35.37,51.22,47.42,41.92,1,0
3.19,1.88,3.5,7.3,75.03,44.81,51.56,49.61,49.11,1,0
16.51,23.59,13.07,23.58,1.46,48.0,22.83,31.3,45.83,0,0
17.05,5.02,18.37,51.39,54.59,37.69,45.53,54.87,37.4,1,0
16.1,9.04,7.71,16.03,69.03,2.33,40.37,48.29,63.16,1,0
15.23,9.27,6.0,64.47,75.19,84.13,44.26,43.88,76.94,0,0
11.23,13.74,9.39,39.86,86.1,90.7,66.86,72.69,43.22,1,0
2.73,11.49,5.75,86.53,94.93,65.03,67.23,20.39,40.98,0,1
7.36,4.09,3.9,77.97,82.93,87.54,46.21,23.71,48.3,1,1
2.94,11.59,17.58,26.99,56.25,52.07,43.08,51.68,62.95,0,0
4.21,1.75,15.24,61.3,3.77,96.54,49.09,22.66,41.26,0,0
2.67,10.17,4.99,46.5,87.65,49.12,72.84,27.08,53.56,0,1
21.92,2.54,4.4,42.44,31.13,10.94,56.4,47.11,49.62,0,0
1.87,3.07,23.0,62.18,43.98,79.3,51.65,51.6,72.47,1,0
3.79,12.77,10.35,21.41,66.72,49.23,61.69,39.85,26.44,0,0
1.83,1.28,6.02,24.64,46.36,18.5,59.18,55.34,47.65,1,0
19.2,18.31,3.64,76.51,82.68,17.32,39.89,47.88,49.28,1,1
6.9,14.91,12.26,43.32,38.27,23.62,52.87,30.36,44.04,0,0
17.88,4.56,2.0,35.87,50.58,25.21,50.29,45.51,62.22,0,0
25.95,20.92,1.96,52.1,24.32,5.73,44.01,44.47,47.53,0,0
5.44,1.83,24.02,98.7,65.53,22.4,34.94,42.4,66.22,1,0
3.4,16.91,2.19,24.16,86.12,26.14,46.8,23.13,62.8,0,1
5.47,4.12,5.99,23.49,16.05,78.36,49.68,48.74,58.66,0,0
6.93,6.49,1.94,70.37,41.36,92.47,39.78,45.19,64.12,0,0
14.09,5.73,7.49,66.92,27.8,94.12,52.07,59.75,18.24,1,0
20.86,3.39,3.15,36.86,17.67,61.8,41.57,46.38,59.18,1,0
7.31,7.42,5.01,48.71,32.75,85.28,46.57,31.4,50.03,1,0
3.67,10.64,1.18,65.28,19.55,76.59,33.0,49.3,60.53,0,1
9.53,10.3,7.02,72.73,87.17,23.53,29.25,41.89,61.93,0,1
3.9,9.32,24.17,50.99,10.75,71.84,53.19,55.39,51.96,0,0
1.66,1.74,9.26,78.6,46.68,70.65,40.43,36.97,56.3,1,0
1.01,8.35,2.99,27.62,31.4,45.85,52.37,37.88,34.47,0,1
7.57,1.38,16.01,19.25,35.99,95.94,51.73,36.83,55.4,1,0
5.83,1.25,9.38,58.85,47.56,11.64,47.61,55.98,49.96,1,0
3.56,12.29,13.35,14.19,40.26,80.81,57.66,61.41,48.58,0,0
7.51,2.62,5.0,40.97,12.58,58.66,32.78,30.05,43.93,1,0
3.11,13.57,12.77,85.64,79.46,60.51,61.31,35.6,58.23,0,1
3.98,6.28,5.67,39.91,57.6,13.62,35.52,61.32,64.49,0,0
1.27,1.73,7.21,7.49,40.05,14.77,46.37,18.94,74.25,1,0
15.3,1.09,5.93,86.56,54.08,57.39,34.09,42.59,51.3,1,0
12.85,7.16,21.79,62.67,6.2,98.86,44.62,66.53,40.58,0,0
27.02,10.76,2.72,26.97,28.83,18.29,62.1,41.75,56.55,0,0
10.5,5.96,15.68,1.3,82.48,66.7,56.4,23.52,18.97,1,1
4.48,8.27,9.58,15.94,22.67,62.95,39.19,50.71,55.26,0,0
8.19,3.85,7.49,28.09,36.39,90.94,66.13,40.18,45.94,0,0
6.98,11.4,8.1,42.5,68.22,61.93,57.16,48.6,34.87,1,0
9.83,7.26,1.37,23.19,13.11,67.97,47.26,51.29,47.87,0,1
4.51,16.81,3.85,62.88,38.98,3.92,48.41,46.49,43.85,0,0
6.51,2.49,3.28,78.87,5.26,59.65,48.58,42.02,74.94,0,0
15.33,6.84,2.41,69.3,34.26,81.81,38.11,48.47,45.02,0,0
1.22,2.96,9.98,23.86,84.23,14.63,35.62,42.18,64.02,1,0
38.42,6.17,1.21,79.61,50.62,71.87,66.55,52.18,37.0,1,0
15.49,29.19,2.55,80.92,19.75,26.2,65.45,47.47,59.77,0,1
9.11,13.45,7.37,37.65,76.14,87.87,41.42,46.03,51.43,0,0
4.66,7.91,12.0,35.01,99.92,28.89,39.66,45.93,50.19,1,1
21.48,4.02,11.66,93.6,85.68,78.19,63.47,22.11,65.27,1,1
4.06,6.31,3.5,33.33,28.19,90.09,47.7,44.9,52.69,0,0
1.12,10.05,20.49,69.15,39.94,31.33,43.59,42.38,64.83,0,0
1.36,1.69,3.14,28.66,64.6,38.99,39.7,82.56,30.16,1,1
19.66,6.73,4.44,63.18,59.57,78.35,43.48,49.63,51.57,1,0
18.23,1.85,20.81,69.0,60.5,51.94,76.94,44.82,64.3,1,0
7.25,8.96,2.57,81.9,34.21,24.44,56.37,58.59,52.92,0,0
7.15,3.2,11.78,76.28,32.56,98.66,58.77,48.67,49.56,0,0
19.6,21.37,11.29,71.98,7.76,40.72,58.86,44.83,62.61,0,0
9.32,11.61,21.63,5.69,19.12,37.44,59.98,28.24,73.11,0,1
4.92,17.72,6.54,57.37,49.72,23.81,60.31,36.61,43.96,0,0
6.52,13.88,1.32,52.76,57.36,3.79,69.11,22.14,64.14,1,1
4.74,17.68,3.43,31.47,75.09,4.59,47.24,35.15,80.98,0,1
2.61,33.19,27.34,19.93,81.33,97.67,67.21,36.47,54.17,0,0
14.82,7.91,17.24,5.93,44.05,97.89,50.04,57.83,50.38,1,0
1.25,9.26,10.12,77.59,80.56,84.57,46.17,57.53,47.51,0,0
4.49,10.31,1.22,76.87,14.37,34.61,34.14,31.44,45.09,1,1
35.57,7.79,22.89,14.1,21.71,22.26,40.9,22.2,53.08,0,0
3.28,1.31,4.71,42.63,2.24,23.2,54.29,49.32,71.39,0,0
27.23,13.61,15.25,69.64,95.43,12.33,48.5,57.66,58.62,0,1
4.72,9.44,3.65,17.51,54.86,44.67,50.94,38.24,43.09,0,1
9.18,1.38,12.18,7.57,95.36,37.59,52.61,52.49,36.27,1,1
2.86,3.5,19.16,45.92,67.17,79.0,47.16,52.06,33.11,1,0
7.03,29.73,6.51,31.22,27.55,66.87,67.17,39.75,37.18,0,0
33.14,1.43,2.52,75.27,46.18,52.01,53.77,38.5,44.49,1,0
13.73,5.59,3.21,14.19,79.92,83.56,65.83,42.89,80.83,1,0
10.98,1.36,4.4,61.06,38.54,30.6,52.93,41.03,61.77,1,0
15.42,10.0,31.33,99.83,7.32,47.14,64.08,30.22,45.65,0,0
1.24,1.28,5.55,26.39,93.99,95.59,63.2,46.74,46.14,1,1
6.04,4.54,4.7,75.98,80.56,35.98,63.71,54.19,55.34,0,0
11.1,7.12,13.98,43.6,36.43,10.26,42.75,48.41,35.06,0,0
4.29,6.0,14.84,28.57,33.87,87.01,57.36,47.03,55.73,1,0
28.22,13.56,17.47,83.29,51.11,96.72,59.91,44.91,67.17,0,0
1.74,8.45,20.34,12.84,88.97,71.91,47.96,68.42,38.58,0,0
16.17,30.95,9.13,49.12,53.33,75.84,36.57,16.56,43.02,0,0
3.12,2.02,44.43,97.55,24.64,38.28,21.62,44.58,23.57,1,0
16.65,6.14,2.61,83.23,45.85,32.13,48.91,62.3,66.54,0,0
5.07,5.4,14.5,22.32,99.51,68.26,48.81,68.15,45.92,1,1
